,Title,Director,Cast,Genre,year
293,Sati Tara a.k.a. War Between Vali And Sugriva a.k.a. Vali Sugriva Yudh,Shinde,"Bhaurao Datar, Tatyaba Shelar, Krishna Chauhan",Mythology,1925
294,Savkari Pash a.k.a. Indian Shylock,Baburao Painter,"V. Shantaram, Balasaheb Yadav, Kamladevi, Zunzharrao Pawar, Bakre, Keshavrao Dhaiber, Shankarrao Bhute",Social,1925
295,Search For Pandavs a.k.a. Pandav Shodh,G. V. Sane,,Mythology,1925
296,Seth Sagalsha a.k.a. Wealth And The World,Mohan Dayaram Bhavnani,Jamuna,Legend,1925
297,Shahala Shah a.k.a. Check To The King,Baburao Painter,"V. Shantaram, Balasaheb Yadav, Kamladevi, Zunzharrao Pawar, Ganpat Bakre,",Social,1925
298,Shanker Lila,,,Religious,1925
299,Shanta,,,Social,1925
300,Shri Vatsa Chinta,Bhagwati Mishra,,Mythology,1925
301,Social Pirates a.k.a. Mumbai Ni Mohini a.k.a. Night Side Of Bombay,Nanubhai Desai,"Fatma Begum, Mohanlala, Elizer, Dorabji Mevawala",crime Drama,1925
302,Sultaness Of Love,,,Costume,1925
303,Suvarna,Manilal Joshi,"Raja Sandow, Putli",,1925
304,The Divine Punishment a.k.a. Deshna Dushman a.k.a. Rangilo Rajvi,Manilal Joshi,"Zubeida, Raja Sandow, Miss Yakbal, Miss Moti, K. Athavale, Noor Mohammed Charlie, Bachu, R. N. Vaidya,",Costume,1925
305,The Exiled Prince a.k.a. Ujaint Kumar,Bhagwati Mishra,Jilloobai,,1925
306,The Noble Scamp a.k.a. Khandani Khavis,Manilal Joshi,"Raja Sandow, Zubeida, Baba Vyas, R. A. D. Chowdhary",Costume,1925
307,Turki Hoor a.k.a. Beauty Of A Turkey Girl,J. J. Madan,"Patience Cooper, Master Mohan, Surajram, Sarifa, Manilal",Social,1925
308,Two Untouchables a.k.a. Dherni Chokri,N. D. Sarpotdar,"Parshwanathy Yeshwant Altekar, Joshi, Miss Jones, Dattoba Rajwade",Social,1925
309,Veer Bala a.k.a. Brave Girl,M. D. Bhavnani,"Sulochana, Khalil, Noor Mohammed Charlie",Costume,1925
310,Verni Vasulat a.k.a. Sweet Revenge,Harshadrai Mehta,"Damania, Durga, Haridas, Pranjivan",Social,1925
311,Vimla a.k.a. Mother India,"Chandulal Shah, D. D. Dabke","Raja Sandow, Putli",Social,1925
312,Yashodevi a.k.a. Sacrifice,Nagendra Majumdar,"Zubeida, Madanrai Vakil",Historical,1925
313,Abala Rani a.k.a. The Queen Who Would Not Speak,S. N. Patankar,Zubeida,Abola,1926
314,A Crown For Two Days a.k.a. Be Din Nu Badshah,Harshadrai Mehta,"Gulab, Nandram, Ermeline, Himmatlal, Vishnu",Social,1926
315,Ajab Kumari,Manilal Joshi,"Miss Mary, Mohanlala, Daji",Costume,1926
316,Amar Asha a.k.a. Immortal Hope,Harshadrai Mehta,"Ermeline, Gulab, Nandram",Historical,1926
317,Asha a.k.a. Hope a.k.a. Andhli Phool Wali,Rama S. Chowdhury,"Nagendra Majumdar, Putli, Ghory, Baba Vyas, K. B. Athavale",Social,1926
318,Balaji Nimbalkar,Dadasaheb Phalke,"Vasant Shinde, Bhaurao Datar, Dattopant Sakte, Krishna Chauhan",Historical,1926
319,Bhagwa Zenda a.k.a. The Orange Flag,K. P. Bhave,"Elizer, Madanrai Vakil, Asooji, Baburao Sansare",Historical,1926
320,Bhakta Prahlad a.k.a. Devout Prahlad,Dadasaheb Phalke,"Bhaurao Datar, Bachu, Yamuna Gole, Gangaram",Devotional,1926
321,Bhasmasur Vadh a.k.a. Prithvi Putra,G. S. Devare,"Raja Sandow, Gohar",Social,1926
