,Title,Director,Cast,Genre,year
464,Raghunathrao and Sarayubala,Madanrai Vakil,"Jilloobai, P. R. Joshi",Semi-historical Romance,1927
465,Reshmi Sari a.k.a. Follies Of The Rich,Nanubhai Desai,"Jani Babu, A. P. Kapoor, Mani, Mary",Social,1927
466,Roop Sundari a.k.a. Ideal Womanhood a.k.a. Adarsha Veerangana,Harshadrai Mehta,"Nandram, Gulb, Durga, Chanda",Social,1927
467,Rukamangada Mohini,Dadsaheb Phalke,"Ganpat Shinde, Gangubai Mohite",Devotional,1927
468,Sansar a.k.a. A Phase Of Life,V. K. Pattani,,Social,1927
469,Sati Madri a.k.a. Pious Madri,"Narayan Deware, Chandulal Shah","Raja Sandow, Gohar",Devotional,1927
470,Sati Savitri a.k.a. Ideal Wife,Baburao Painter,"V. Shantaram, Sushila Devi, Zunzharrao Pawar, Nimbalkar, Balasaheb Yadav, Gulabbai",Social,1927
471,Sati Savitri a.k.a. Savitri Satyavan a.k.a. Ideal Wife,Pandurang Talegiri,"Gangubai, Wamanrao Kulkarni, Baburao Gade, Pandurang Varne",Mythology,1927
472,Satsang,,,,1927
473,Savaliya Tandel,,,,1927
474,Shankaracharya a.k.a. Renaissance Of Hinduism,Kali Prasad Ghose (K. P. Ghose),"Jiban Gangopadhyay, Dhirendranath Ganguly, Leela Mukherjee, Nirmalendu Lahiri, Kartik Dey, Ahi Sanyal, Manmatha Pal",Devotional,1927
475,Sharad Purnima a.k.a. A Full Moon Night In Spring,Harshadrai Mehta,"Gulab, Nandram, Keshavlal, Gangaram",Social,1927
476,Sheel Prabhav a.k.a. Glory Of Virtue,Vishnupant Aundhkar,,,1927
477,Shiraz-Ud-Dowla a.k.a. By Sheer Valour,Dhanjibhai K. Desai,"Master Vithal, Zebunisa, Tara, Asha, Kumudini, Miss Dwarki, Gangaram",Costume Historical,1927
478,Shri Krishna Nardi,K. P. Bhave,"Jamshedji Khansaheb, Putli, Jilloobai",Religious,1927
479,Shrimati Nalini a.k.a. Mrs. Nalini,Manilal Joshi,"Nargis, Yakbal, Takle",Social,1927
480,Sindh Ni Sumari a.k.a. Sumari Of Sind,Chandulal Shah,"Gohar, Raja Sandow, Noor Mohammed Charlie, Yakbal, Leena",Costume,1927
481,Swadesh Seva a.k.a. My Country,Harshadrai Mehta,"Master Vithal, Lobo",Historical,1927
482,Tainted Virtue a.k.a. Karmaili Kali,Rama S. Choudhury,"Ermeline, Madanrai Vakil",Social,1927
483,The Dancing Girl a.k.a. Gutter Nu Gulab,Bhagwati Prasad Mishra,"Sulochana (Ruby Myers), Madanrai Vakil, Elizer, Putli, Jamshedji, K. P. Bhave, Sakhu",Social,1927
484,The Mission Girl a.k.a. Christian Kumari,Homi Master,"Raja Sandow, Sulochana (Ruby Myrs), Heera, Khalil, Miss Mani",Social,1927
485,Thoratanchi Kamla a.k.a. Kamla Of The Thorats,N. D. Sarpotdar,"Gangubai, Wamanrao Kulkarni, Pandurang Varne, Dattoba Rajwade, Baburao Shinde, Bandopant Sohoni",Historical,1927
486,Trust Your Wife a.k.a. Anun Naam Te Bairi,Mohan Dayaram Bhavnani,"Miss Mohini, Jamshedji, Jilloobai",Social,1927
487,Vadia Dhor a.k.a. Unpractical,Harshadrai Mehta,,Social,1927
488,Vande Mataram Ashram,Bhalji Pendharkar,"Yamunadevi, Parshwanath Yeshwant Altekar, Baburao Pendharkar",Social,1927
489,Veer Garjana a.k.a. Rewards Of Blind Passion,Nanubhai Desai,"Master Vithal, Prabhashankar, Kumudini",Action Costume,1927
490,Vilasi Kanta a.k.a. Flirting Wife,,"Aundhkar, Wamanrao Kulkarni, Durga, Hansa, Yamuna Gole, Phatak",Social,1927
491,Wildcat of Bombay a.k.a. Mumbai Ni Biladi,Mohan Dayaram Bhavnani,"Jamshedji Khansaheb, Sulochana (Ruby Myers), D. Billimoria",Social,1927
492,Why Sons Go Astray a.k.a. Surat No Sahukar,Homi Master,"Sushila, R. N. Vaidya, Khalil, Noor Mohammed Charlie",Social,1927
493,A Friend In Need a.k.a. Geeta Rahasya,K. P. Bhave,"Ermeline, E. Billimoria, J. P. Gidwani",,1928
494,Amrit Ki Zaher a.k.a. Wine And Woman,Anand Prasad Kapoor,"Zebunisa, Mani, Balahai, Padval",,1928
495,Anarkali a.k.a. The Loves of a Moghul Prince,"Charu Roy, Prafulla Roy","Seeta Devi, Diwan Sharar, Maya Devi, Shakuntala Tembe, Sawan Singh, Rajkumari, Imtiz Ali Taj",Legend Romance,1928
496,Ankh Ka Nasha,,"Patience Cooper, Master Mohan, Sharifa, Mohammed Ishaq, Manilal, Sooraj Ram",Social,1928
497,Balaji Nimbalkar,Dadasaheb Phalke,,Historical,1928
498,Bhai Ke Kasai a.k.a. His Father's Honour,"Ramakant, Gharekhan","Shanta Kumari, R. N. Vaidya, Jani Babu",Social,1928
499,Bishabriksha a.k.a. The Poison Tree,Jyotish Bannerjee,"Durgadas Bannerjee, Leelavati, Ahindra Chowdhury, Jaynarayan Mukherjee, Manoranjan Bhattacharya, Tarakbala, Kartik Dey",Social,1928
500,Bhakta Damaji a.k.a. Devout Damaji,Dadasaheb Phalke,"Bhauro Datar, Gotiram",Devotional,1928
501,Bhasmasur,Tarapada Saha,Deben Mullick,Mythology,1928
502,Bhranti a.k.a. Mistake,Jyotish Bannerjee,"Patience Cooper, Durgadas Bannerjee, Seeta Devi, Satyen, Naresh Mitra, Sailen Chowdhury, Manorama, Tarasundari, Chittaranjan Goswami, Sashimukhi, Danibabu",Social,1928
503,Brother To Brother a.k.a. Tarunina Tarang,Prafulla Ghosh,"Gulab, Durga, Haridas, Takle, Keshavlal",Social,1928
504,Celestial Lotus a.k.a. Pandav Patrani,"Nagendra Majumdar, M. Bhavani","D. Billimoria, Sulochana (Ruby Myers), Jilloobai, Wagle, Putli",Fantasy,1928
505,Chamakti Chanda,M. Udwadia,"Zubeida, Jagtap Jr., Yvonne Wallace,",Costume,1928
506,Chandrahasa,Kanjibhai Rathod,"Haider Shah, Durga Korgaonkar, P. R. Joshi, Kusum, Sakina, Keshavlal, Athavle, Sultan, Alam, Gangaram, Nizam",Devotional,1928
507,Chandravali a.k.a. The Crown of Virtue,Fatma Begum,"Fatma Begum, Shahzadi, Jani Babu, Yakub, Sultana",Costume,1928
508,Chatur Kanta a.k.a. Chatur Kanya,"R. R. Gharekhan, Ramakant","Kumudini, Athavle, Roy",Social,1928
509,Daughters Of Today a.k.a. Prem Pariksha,G. K. Mehta,"Miss Maya, Hiralal, Thomas, Miss Belle Love, Vijay Kumar, E. Ismail",Social,1928
510,Destiny Defied a.k.a. Lekh Par Mekh,Homi Master,"Panna, Heera, Noor Mohammed Charlie, Thomas, Gani Babu",Social,1928
511,Detective Kumar,K. B. Athavale,"Rampyari, Athavale, Malini, Salvi",Social,1928
512,Dev Kanya a.k.a. Daughter of God,Kanjibhai Rathod,"Gulab, Nandram, Lila, P. R. Joshi, Vishnu",Devotional,1928
513,Devdas,Naresh Mitra,"Tinkari Chakraborty, Naresh Mitra, Niharbala, Moni Ghosh, Phani Burma, Miss Light, Rama Devi, Kanaknarayan Bhup",Social,1928
514,Draupadi Vastra Haran a.k.a. The Royal Gambler,Parshwanath Yeshwant Altekar,"Durgabai Koregaonkar, Gangoobai",Mythology,1928
515,Dreamland a.k.a. Swarga Vihar,Maneklal Patel,"Gulab, Rampyari, Gangaram, Vishnu",Fantasy,1928
516,Emperor Ashok a.k.a. Samrat Ashok,Bhagwati Mishra,"Zubeida, Madanrai Vakil, Udwadia, Putli, Jilloobai, Asooji, Dwarki",Historical,1928
517,Enticement a.k.a. Mayana Rang,"Haribhai Desai, Sundarrao Nadkarni","Zebunisa, Gangoobai, Jairam Desai, Master Bachu, Baburo Gade",Costume,1928
518,Ex-Husband a.k.a. Soneri Jaal,Gordhandas Patel,"Gulab, Nandram",Costume,1928
519,Fall Of Pavagadh a.k.a. Pavagadh Nu Patan a.k.a. Goddess Mahakali,Nagendra Majumdar,"Navinchandra, Iris Crawford, K. B. Athavale, Zaverbhai Kaiser",Historical,1928
520,Fatal Garland a.k.a. Haiyan No Haar,Bhagwati Mishra,"Ermeline, Jamshedji Khansaheb, Madanrai Vakil, Putli, Mazhar Khan",Social,1928
521,Fatal Kiss a.k.a. Ekaj Chumban,K. B. Athavale,"Yakbal, Athavale",Social,1928
522,Father O'mine a.k.a. Pita Ke Parmeshwar,Rama Chowdhury,"Elizer, Jamshedji Khansaheb, Putli, Jilloobai, Yusuf",Social,1928
523,Foolish Husbands a.k.a. Bharmayalo Bharthar,Narayan Deware,"Behram Vasania, Fatma Begum, Faram, Jumna",Social,1928
524,Forsaken Love a.k.a. Prem Nirasha,Pesi Karani,"Heera, Jumna, Behram Vasania, R. N. Vaidya",Social,1928
525,Ganimi Kawa a.k.a. Guerrilla Tactics,N. D. Sarpotdar,"Lalita Pawar, Amboo, Durgabai Koregaonkar, Suryakant, Khanderao Kondke",Historical,1928
526,Ghor Pratignya a.k.a. Sarojani,Homi Master,"Heera, Panna, Jani Babu, Thomas, Usha",Costume,1928
527,Ghoshayatra,G. V. Sane,Bhaurao Datar,,1928
528,Golden Gang a.k.a. Soneri Toli,K. P. Bhave,"Zubeida, Udwadia, Jagtap",Social,1928
529,Grihalaxmi a.k.a. The Daughter-In-Law,Chandulal Shah,"Gohar, Raja Sandow, Vaidya",Social,1928
530,Gul Badan,Harshadrai Mehta,"Zebunissa, Master Vithal",Costume,1928
531,Gul Sanobar,Homi Master,"Hira, Yakbal, Khalil, Gani Babu",Fantasy,1928
532,Gulru Zarina a.k.a. Flower-Like Zarina,A. P. Kapoor,"Janibabu, Lobo",Fantasy,1928
533,Harishchandra a.k.a. Raja Harishchandra,N. D. Sarpotdar,"Bhaurao Datar, Lalita Pawar, Durgabai Koregaokar, H. Dhodke, Shantaram Sagun, Dattoba Rajwade, P. N. Varne, Jhadhavrao",Mythology,1928
534,Heer Ranjah,Fatma Begum,"Zubeida, Jani Babu, Shahzadi, Fatma Begum",Legend Romance,1928
535,Hira Sundari,A. P. Kapoor,"Master Vithal, Jani Babu, Nirasha",Social,1928
536,Hoor-E-Arab a.k.a. Aladdin And The Magic Lamp,Ratansha Sinore,"Patience Cooper, Bapuji Punegar, Farida",Fantasy,1928
537,Hoor-E-Baghdad a.k.a. Fairy Of Baghdad a.k.a. Forbidden Love,Bhagwati Mishra,"Ermeline, Mazhar Khan, W. M. Khan",Fantasy,1928
538,Ideal Wife a.k.a. Arya Mahila,N. D. Sarpotdar,"Lalita Pawar, Baburao Athavale, Durgabai Koregaonkar, S. Bhopatkar, P. N. Varne, Jadhavrao",Social,1928
539,Indulal Advocate a.k.a. Bodku Mathu,Kanjibhai Rathod,Jehangir,Social,1928
540,Jagadguru Shrimad Shankaracharya a.k.a. World Teacher Shankaracharya,P. Y. Altekar,"Keshav Narayan Kale, Ermeline, Jilloobai, P. Y. Altekar, Baburao Sansare, Putli, Gohar, Nazir, Rustom, Sakhu",Devotional,1928
541,Jai Bhavani,K. P. Bhave,"Bhonsle, Jagtap, Dabir, Dwarkee",Historical,1928
542,Kamla Kumari a.k.a. Sabur Shah,Bhagwati Mishra,"Madanrai Vakil, Ermeline, Gohar, Yakub",Legend,1928
543,Kamsena Lilavati,,"Yakbal, K. B. Athavale, Mary",,1928
544,Khoon-E-Nahak a.k.a. Hamlet,K. B. Athavale,"Rampyari, K. C. Roy, Salvi, Yakbal",Tragedy Drama,1928
545,Kanak Kanta a.k.a. Navlakha Haar,A. P. Kapoor,"Master Vithal, Meherbanu, Prabhashankar, Ata Mohamed, Lobo, Nirasha",Social,1928
546,Karna The True Battler a.k.a. Maharathi Karna,Baburao Painter,"Keshavrao Dhaiber, V. Shantaram, Kamla Devi, Balasaheb Yadav, Nimbalkar, Sushilabai, Nandrekar, Maya, Zunzharrao Pawar, Anasuya, Tukaram Mandhere",Mythology,1928
547,Katil Kathlani a.k.a. La Belle,N. Majumdar,"D. Billimoria, Putli, Jilloobai",Social,1928
548,Kelor Kirti,Sudhansu Mustafi,"Bela Rani, Lalu Bose, Niharbala",Comedy,1928
549,Kichak Vadha a.k.a. Sairandhari,Baburao Painter,Nimbalkar,Mythology,1928
550,Kunji Kishori,Kanjibhai Rathod,"Rampyari, Haider Shah, Gulab, Durga, Nizam, Haridas",,1928
551,Lady Of The Lake a.k.a. Sarovar Ki Sundari,Rama Choudhary,"Ermeline, Jilloobai, Zebunisa, Yakub, Elizer, Madanrai Vakil, Baburao",Fantasy,1928
552,Lakho Fullani,,,Legend,1928
553,Love And Romance a.k.a. Mohabbat Ke Musibat,M. M. Vaidya,,,1928
554,Lure Of Lust a.k.a. Moh-Jaal,"Nirbhoy Thakkar, M. Udwadia",,,1928
555,Madalsa,,,Religious,1928
556,Madhuri,Rama Choudhary,"Sulochana, (Ruby Myers), D. Billimoria, Vakil, Jilloobai, Madanrai Vakil",Historical,1928
557,Magic Valley a.k.a. Maya Mahal,Nanubhai Desai,"Zebunisa, Janibabu",Fantasy,1928
558,Malhari Martand,Ganpat Shinde,"Bhaurao Datar, Kashibai Pathak, Joshi, Shelar",,1928
559,Maya Mohini,Keshavlal Joshi,"Gulab, Gangaram, Durga, Nizam",Fantasy,1928
560,Naag Padmini,N. G. Deware,"Fatma Begum, Raja Sandow, Yakbal, Thomas, Jumna, Nargis",Devotional,1928
561,Nara Kesari a.k.a. Lion Of Maharashtra,K. P. Bhave,"Udwadia, Nalini, Dwarkee, V. B. Jagtap",Historical,1928
562,Neelam Manek a.k.a. The Blue Jewel,Kanjibhai Rathod,"Gulab, Rampyari, Asha, Keshavlal, Durga, Chandra, Gangaram",Social,1928
563,Nishiddha Phal a.k.a. Forbidden Fruit,Kali Prasad Ghose,"Kali Prasad Ghose, Renubala, Bhanu Bannerjee Sr., Nimai, Nivanani Devi, Prafulla, Renubala, Bhanu Bannerjee Sr., Nimai, Nivanani Devi, Prafulla, Atul Gangopadhyay, Narendranath Singa, Sukriti Devi",Social,1928
564,Our Hindustan a.k.a. Our India a.k.a. Amru Hindustan,C. H. Shah,"Shahzadi, Anasuya, Dinshaw Billimoria, Tayeb",,1928
565,Padmalata a.k.a. Lily In The Mud,D. A. Dandekar,"Nandram, Lila, P. R. Joshi, Salma Nizam, Gangaram",Costume,1928
566,Pataal Padmini a.k.a. The Beauty From Hell,Harshadrai Mehta,"Zebunisa, Nandram, Jani Babu, Joshi, Nirasha",Fantasy,1928
567,Patel Ketu,K. P. Bhave,"Tara, Keshav Narayan Kale, Rustom Irani, Sakhu, Jamshedji",,1928
568,Pauper Princess,"Ramakant, Gharekhan","Mohini, Jai Kishan Nanda, Mary, Roy, Baba Vyas",Costume,1928
569,Parshuram,Dasaheb Phalke,,Mythology,1928
570,Prisoners Of Love a.k.a. Raj Tarang,Harshadrai Mehta,"Master Vithal, Zebunisa, Prabhashankar, Alibux, Lobo",Costume,1928
571,Puran Bhagat,Pesi Karani,"Ermeline, Rustom, Sakhu, Jilloobai, Khansaheb, Gohar Jr. Jamhedji",Devotional,1928
572,Raj Kumar a.k.a. Raj Kunwar,,Krishnabai,,1928
573,Ram Rajya Viyoga,,,Religious,1928
574,Roop Basant a.k.a. Madan Mohana a.k.a. Beautiful Woman,Haribhai Desai,"Master Bachu, Miss Mohna, Baburao Gade, Wmanrao, D. N. Potdar, Gangoobai, Jairam, Fayma",Costume,1928
575,Rukmani Haran,,,Mythology,1928
576,Sainted Devil a.k.a. Ek Abla,Bhagwati Prasad Mishra,"Ermeline, Asoobhai, Putli, Misra, Jillo Bai, J. Rustom Irani, Ghory, Bhagwati Mishra, Yusuf",Social,1928
577,Sarla a.k.a. Sarala,"Amritlal Bose, Priyanath Ganguly","Seeta Devi, Durgadas Bandyopadhyay, Rani Sundari, Naresh Mitra, Chittaranjan Goswami, Sailen Chowdhury, Manorama, Prabodh Bose",Social,1928
578,Sassi Punnu a.k.a. Sassi Punhu,Harshad Rai Mehta,"Master Vithal, Zebunisa, Mani, A. P. Kapoor, Lobo",Legend Romance,1928
579,Sati Pingala,G. V. Sane,"Bhaurao Datar, Gangubai Mohite",Devotional,1928
580,Second Wife a.k.a. Punarlagna Ni Patni,Nagendra Mazumdar,"Mehtab, Yusuf, Salvi, Gangu",Social,1928
581,Shamsher Pratigna,"R. N. Vaidya, Jamnadas Subedar","Kumudini, R. N. Vaidya, Baba Vyas, Ghanshyam",Costume,1928
582,Shasti Ki Shanti,Jyotish Banerjee,"Nath Ghosh, Ahindra Chowdhary, Tara Sundari, Durgadas Bannerjee, Danibabu, Jainarayan Mukherjee, Tarasundari, Prabavathi, Prabavathi, Kartik Dey, Kantibhusan Bandyopadhyay Tulsi Banerji",Social,1928
583,Shree Dwarkadheesh a.k.a. Shri Dwarkadhish,"Ramakant Rangnath, Gharekhan","Pramoth Bose, Kadambari, Ghanshyam, Baba Vyas, Roy",Devotional,1928
584,Shree Krishna Shishtai,Dadasaheb Phalke,,Religious,1928
585,Silver Cloud a.k.a. Varachat Vidhwa,Maneklal Joshi,"Rampyari, Salvi, Kumudini",Socia,1928
586,Sneh Jyoti a.k.a. Love Flame,"Raja Sandow, R. N. Vaidya","Putli, Raja Sandow, Shanta Kumari, Baba Vyas, Dabir, Ghanshyam, R. N. Vaidya",,1928
587,Soni Mahiwal,Anand Prasad Kapoor,"Master Vithal, Zebunisa, Mani, Himmat",Legend Romance,1928
588,Sudarshan,Dadasaheb Phalke,,Religious,1928
589,The Love Flame,Nanubhai Vakil,"Shanta Kumari, Putli, Raja Sandow",Social,1928
590,Traitor a.k.a. Namak Haram,N. D. Sarpotdar,"Meera, P. N. Varne, Durgabai Korgaonkar, Dattoba Rajwade, Jadhav",Historical,1928
591,Udan Tappu a.k.a. Vagabond,N. D. Sarpotdar,"Dattoba Rajwade, Durgabai Korgaonkar, Krishnaji Ghanekar, P. N. Varne, Hansa, Jadhavrao, Das",Social,1928
592,Up-To-Date a.k.a. Akalna Bardan,Prafulla Ghosh,"Gulab, Noor Mohammad Charlie, Wadilal, Sandow, Jehangir",Social,1928
593,Vasant Leela a.k.a. Sons Of The Rich,N. G. Deware (Narayan Deware),"Shakuntala Tembe, Fram Sethna, Jal Balsara, Noor Mohammed Charlie, Raja Babu, Panna, Siraj, Fatma Jr.",Social,1928
594,Vasavdatta,Nagendra Mazumdar,"Putli, Jani Babu, Athavle",Historical,1928
595,Veer Ramani,,,Costume,1928
596,Veerangana,Homi Master,"Khalil, Yakbal, Shivabai, Heera",Costume,1928
597,Vengeance a.k.a. Raj Rang,Bhagwati Prasad Mishra,"Sulochana, Jillo Bai, D. Bilimoria, Elizer, Jamshedji",Social Action,1928
598,Vigathakumaram a.k.a. The Lost Child,J. C. Daniel,J. C. Daniel,Social,1928
599,Vile Woman a.k.a. Kal Ratri Nu Khooni Khanjar,K. Rathor,"Rampyari, Haider Shah, Gulab, Nandram, Vishnu",Costume,1928
600,Vishwamohini a.k.a. The Enchantress,Chandulal Shah,"Gohar, Meena Devi, Raja Sandow, Vaidya, E. Bilimoria",Social,1928
601,Wife And The Vampire a.k.a. Prem Ane Vaasna a.k.a. Sansar Nauka,Lalitarai Vyas,,,1928
602,Wine Of Youth a.k.a. Saundarya Sura,Harshad Rai Mehta,"Master Vithal, Mani, A. P. Kapoor, Lobo",Social,1928
603,Wise Fool a.k.a. Madan Manjari,Pesi Karani,"Ermeline, Jamshedji, Dinkar, Tara, Asooji, Khan",Costume,1928
604,All for Money a.k.a. Paisa Na Gulam,Prafulla Ghosh,"Vishnu, Rampyari, Gulab, Takle, Haider Shah",Social,1929
605,Akalmand Bewaqoof a.k.a. Foolish Wisdom,Dada Sarkari,Dada Sarkari,Comedy,1929
606,Anarbala a.k.a. Fairy of Anar,Bhagwati Mishra,"Navinchandra, Zebunnisa, Ata Mohammed, Nirasha",Costume,1929
607,Apahrita a.k.a. The Kidnapped Girl,Kali Prasad Ghose,"Renubala, Pafulla, Bhumen Roy, B. S. Rajhans, Amitav Ghosh, Sukriti devi, Nimai",,1929
608,A Throw Of Dice a.k.a. Prapancha Pash,Franz Osten,"Himanshu Rai, Seeta Devi, Charu Roy, Modhu Bose, Lala Bijoykishen, Tinkari Chakraborty, Sarada Gupta",,1929
609,Baghdad Nu Baharvatiyo a.k.a. Thief of Baghdad,N. G. Devare,"Jamuna, J. K. Nanda, Elizer, Rajababu, Usha, Ganibabu",Costume Action,1929
610,Bahadur Baharvatiyo a.k.a. Terror of the Hills,Dhirubhai Desai,"Navinchandra, Rajkumari, Kukreja",Action,1929
611,Bangabala,"Dwarka Khosla, Manomoy Bandyopadhyay","Uma Shashi, Phani Burma, Bankim Dutta, Moni Burma, Nanda Babu",Social,1929
612,Baji Prabhu Deshpande a.k.a. Valley of the Immortals,Baburao Painter,"V. Shantaram, B. K. Mistry, Sardar B,",Historical,1929
613,Be Dhari Talwar a.k.a. Challenge,Bhagwati P. Mishra,"E. Billimoria, Ermeline, Mazhar Khan, Boman Shroff, W. M. Khan, Asooji",Costume Action,1929
614,Bhedi Sawar a.k.a. Masked Cavalier,A. P. Kapoor,"Master Vithal, Prabhashankar, Ata Mohammed",Action,1929
615,Bhool Bhulaiyan,Vithaldas Panchotia,,,1929
616,Bicharak a.k.a. The Judge,Sisir Kumar Bhaduri,"Sisir Bhaduri, Tarakumar Bhaduri, Shefalika, Sailen Choudhary, Jogesh Choudhary, Kankabati, Bishwanath Bhaduri",Social,1929
617,Bilwamangal a.k.a. Bhakta Surdas,Homi Master,"Neelam, Elizer, Bhopatkar, Jamuna",Devotional,1929
618,Bikharan a.k.a. Beggar Girl,Chandulal Shah,"Keshav Narayan Kale, Gohar, Baba Vyas, Baburao Sansare, Thatte",Social,1929
619,Blood For Blood a.k.a. Raktacha Sood,Pandurang Talegiri,"Jairam Desai, Gangubai, Sundarrao Nadkarni, Wamanrao Kulkarni, Baburao Gade, Dattopant Sohoni",Historical fiction,1929
620,Bolti Tapeli a.k.a. Talking Pot,Dadasaheb Phalke,,,1929
621,Broken Hearts a.k.a. Zakhmi Jigar,Narayan Deware,"Jamuna, Kumudini, Samson, Thomas",Costume,1929
622,Chandrahasa,Dadasaheb Phalke,,Historical fiction,1929
623,Chandramukhi a.k.a. Moon-Faced Beauty,Chandulal Shah,"Gohar, Raja Sandow, Ghanshyam, R. N. Vaidya, Baba Vyas",Social,1929
624,Chirag-e-Kohistan a.k.a. Lamp of the Hut,Anand Prasad Kapoor,"Master Vithal, Pramoth Bose, Lobo, Prabhashankar",Social,1929
625,Choice Of A Bride a.k.a. Kishori,Haribhai Desai,"Bachhu, Laxmi, Ganpat Bakre, Zhunzharrao Pawar, Baburao Gade",Social,1929
626,Collegian,V. M. Gunjal,"Miss Bunda, Hasam",Social,1929
627,Dagakhor Dilbar a.k.a. King's Paramour,,"Jilloobao, Elizer",Costume Action,1929
628,Daring Rathod a.k.a. Veer Rathod,Kanjibhai J. Rathod,"Rampyari, Abdul Pahelwan, Haider Shah, Durga, Miss Sardar","Action, History",1929
629,Dashrathi Ram,G. V. Sane,"Durga Koregaonkar, Bhaurao Datar, Lalita Pawar, P. N. Varne, Meera, Anant Khule",Religious,1929
630,Dilruba a.k.a. Belle of Bombay,Harshadrai Mehta,"Nandram, Zebunnisa, Janibabu, Joshi, Meharbanu, Nirasha. P. N. Varne",Social,1929
631,Dharma Patni a.k.a. The Ideal Hindu Wife,A. Narayan,"Devaki, T. P. Kailasam,",Social,1929
632,Fairy Of Sinhaldwip a.k.a. Sinhaldweep Ki Sundari,Nanubhai Vakil,"Putli, Inamdar, Manilal, Thatte",Fantasy,1929
633,Falak Numa a.k.a. Triumph of Love,Madhusudan Smart,"Abdul Razaq, Miss Ricks, Faredoon, Kisan Lal, Nooman",Costume,1929
634,Female Feat a.k.a. Rajwada Na Ranga,Krishna Kumar,"Haidar Shah, Gulab, Rampyari, Abdul Pahelwan, Gangaram, Vishnu",Action,1929
635,Friend Or Fiend a.k.a. Sanmitra Ke Shaitan,Bhaidas Kewalram,"Miss Sardar, Abdul Pahelwan, Rampyari, Haider Shah",Social,1929
636,Garuda Garvabhangam a.k.a. Pride of Satyabhama,A. Narayan,"Y. V. Rao, Tara, Devaki",Mythology,1929
637,Gnana Sundari,A. Narayan,,Fantasy,1929
638,Gopal Krishna,V. Shantaram,"Suresh, Kamaladevi, Anant Apte, Sakribai, G.R. Mane",Religious,1929
639,Gori Bala a.k.a. Hell's Paradise,P. Y. Altekar,"Kamala, Nayampally, Jilloobai, Mubarak, Winnie Stewart",Costume,1929
640,Gulshan-e-Arab a.k.a. Arabian Garden,K. P. Bhave,"E. Billimoria, Ermeline, Gohar, Jamshedji, Khansaheb, Sakhu",Fantasy,1929
641,Hatimtai,Prafulla Ghosh,"Rampyari, Rosy, A. R. Pahelwan, Apte, Motibai, Leslie, Durga, Nizam, Miss Hormez",Fantasy Action,1929
642,Hawai Sawar a.k.a. Flying Prince,Mohan Dayaram Bhavnani,"D. Billimoria, Maya, Diana, Mazhar Khan, Jilloobai, Baburao Chinchgar",Fantasy Costume Action,1929
643,Heart Of King a.k.a. Raj Hriday,Haribhai Desai,"Laxmi, Ganpat Bakre, Baburao Gade, Zhunzharrao Pawar, K. Rangarao",Action,1929
644,Heer Ranjha a.k.a. Hoor-e-Punjab,"R. S. Choudhry, Pesi Karani","A. R. Kardar, D. Billimoria, Sulochana (Ruby Myers), Jamshedji, Ismail, Faruki",Legend Romance,1929
645,His Old Debt a.k.a. Mard Ki Zabaan,N. G. Kamatmurkar,"Sundarrao Nadkarni, Gangubai, Wamanao Kulkarni, V. S. Bapat",,1929
646,Husn Ka Daku a.k.a. Mysterious Eagle,A. R. Kardar,"A. R. Kardar, Gulzar, Iris Crawford, M. Ismail, G. R. John and Ghulam Qadir",Action Adventure,1929
647,Indira B.A.,Rama Choudhary,"Sulochana (Ruby Myers), Mehtab, Jilloobai, Jamshedji, Dinkar Bidkar, Salvi, Asooji, Sakubai",Social,1929
648,Jai Bharati a.k.a. Young India,,"Navinchandra, Sultana, Zubeida, Promoth Bose, C. C. Shah",Social,1929
649,Jai Somnath,Harshadrai Mehta,"Keshav Narayan Kale, Gulab, Rampyari, Baburao Apte, Ibrahim, Haider Shah, Shanta",Devotional,1929
650,Jawani Diwani a.k.a. Flaming Youth,Nandlal Jaswantlal,"Kumudini, Hira, Panna, Thomas",Action,1929
651,Jayant,Nagendra Majumdar,"Madanrai Vakil, Gohar, Mehtab, Salvi",,1929
652,Jewel Of Rajputana a.k.a. Mewad Nu Moti,B. P. Mishra,"D. Billimoria, Sulochana (Ruby Myers), Mazhar Khan, Jilloobai, Madanrai Vakil",Historical,1929
653,Jugalanguria,Jyotish Bannerjee,"Tarakbala, Tulsi Bandyopadhyay, Light Alias",,1929
654,Kacha Devayani a.k.a. Kacha and Devayani,Dadasaheb Phalke,,,1929
655,Kanak Tara,Fatma Begum,"Fatma Begum, Shahzadi, Sultana, Zubeida",,1929
656,Kapal Kundala,Priyanath Ganguly (P. N. Ganguly),"Seeta Devi, Indira Devi, Patience Cooper, Tulsi Banerji, Probodh Bose, Naresh Mitra, Dani Babu, Lalita Devi",Social,1929
657,Karuna Kumari,Harshadrai Mehta,"Master Vithal, Zebunisa, Prabhashankar, Balabhai, Lobo",Historical,1929
658,Khwab-e-Hasti a.k.a. Magic Flute,M. Bhavnani (Mohan Dayaram Bhavnani),"Sulochana (Ruby Myers), Dinshaw Bilimoria, Gohar, Diane Belle, Mazhar Khan, Baburao Sansare, Rustom Irani, Ghori",Fantasy,1929
659,Khedda,M. Bhavnani,,Documentary,1929
660,Khooni Kon? a.k.a. Not Guilty,Saqi,"Umar, Saqi, Sayani Atish",Suspense,1929
