director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Gauri Shinde,Alia Bhatt, Shah Rukh Khan, Ira Dubey,Drama Romance,dear zindagi,Alia Bhatt  Shah Rukh Khan  Ira Dubey Gauri Shinde Drama Romance
Rajiv S. Ruia,Rajneesh Duggal, Sonarika Bhadoria, Hiten Tejwani,Romance Horror,saansein,Rajneesh Duggal  Sonarika Bhadoria  Hiten Tejwani Rajiv S. Ruia Romance Horror
Munish Bharadwaj,Ranvir Shorey, Neha Dhupia, Vidhushi Mehra,Thriller Crime Drama,moh maya money,Ranvir Shorey  Neha Dhupia  Vidhushi Mehra Munish Bharadwaj Thriller Crime Drama
Sujoy Ghosh,Vidya Balan, Arjun Rampal, Jugal Hansraj,Mystery Thriller,kahaani 2,Vidya Balan  Arjun Rampal  Jugal Hansraj Sujoy Ghosh Mystery Thriller
Aditya Chopra,Ranveer Singh, Vaani Kapoor,unknown,Romance Comedy Drama,befikre,Ranveer Singh  Vaani Kapoor unknown Aditya Chopra Romance Comedy Drama
Vishal Pandya,Sana Khan, Sharman Joshi, Gurmeet Choudhary,Drama Mystery Romance Thriller,wajah tum ho,Sana Khan  Sharman Joshi  Gurmeet Choudhary Vishal Pandya Drama Mystery Romance Thriller
Shlok Sharma,Nawazuddin Siddiqui, Shweta Tripathi,unknown,Drama,haraamkhor,Nawazuddin Siddiqui  Shweta Tripathi unknown Shlok Sharma Drama
Shaad Ali,Aditya Roy Kapur, Shraddha Kapoor,unknown,Drama Romance,ok jaanu,Aditya Roy Kapur  Shraddha Kapoor unknown Shaad Ali Drama Romance
Vishal Mishra,Sunil Grover, Zakir Hussain,unknown,Comedy,coffee with d,Sunil Grover  Zakir Hussain unknown Vishal Mishra Comedy
Sanjay Gupta,Hrithik Roshan, Yami Gautam,unknown,Action Thriller Drama,kaabil,Hrithik Roshan  Yami Gautam unknown Sanjay Gupta Action Thriller Drama
"Gurmeet Ram Rahim Singh, Honeypreet Insan",Gurmeet Ram Rahim Singh, Honeypreet Insan,unknown,Action Comedy,hind ka napak ko jawab: msg lion heart 2,"Gurmeet Ram Rahim Singh  Honeypreet Insan unknown Gurmeet Ram Rahim Singh, Honeypreet Insan Action Comedy"
Subhash Kapoor,Akshay Kumar, Huma Qureshi, Saurabh Shukla,Comedy Crime,jolly llb 2,Akshay Kumar  Huma Qureshi  Saurabh Shukla Subhash Kapoor Comedy Crime
Abhay Chhabra,Omkar KapoorSimran Kaur Mundi,unknown,unknown,Romance,"u, me aur ghar",Omkar KapoorSimran Kaur Mundi unknown unknown Abhay Chhabra Romance
Amit Roy,Taapsee Pannu, Amit Sadh,unknown,Comedy Romance,running shaadi,Taapsee Pannu  Amit Sadh unknown Amit Roy Comedy Romance
Sankalp Reddy,Rana Daggubati, Taapsee Pannu, Kay Kay Menon,Action War Thriller,the ghazi attack,Rana Daggubati  Taapsee Pannu  Kay Kay Menon Sankalp Reddy Action War Thriller
Raghubeer Singh,Amit Singh Kashyap, Richa Dixit, Vivek Jha,Romance,chauhar,Amit Singh Kashyap  Richa Dixit  Vivek Jha Raghubeer Singh Romance
Vishal Bhardwaj,Kangana Ranaut, Shahid Kapoor, Saif Ali Khan,Drama Thriller,rangoon,Kangana Ranaut  Shahid Kapoor  Saif Ali Khan Vishal Bhardwaj Drama Thriller
Shekhar S Jha,Nana Patekar, Mahie Gill, Priyanshu Chatterjee,Drama,wedding anniversary,Nana Patekar  Mahie Gill  Priyanshu Chatterjee Shekhar S Jha Drama
Shashi Sudigala,Anshuman Jha, Divya Menon, Suzanna Mukherjee,Thriller Horror,mona darling,Anshuman Jha  Divya Menon  Suzanna Mukherjee Shashi Sudigala Thriller Horror
Deven Bhojani,Vidyut Jammwal, Adah Sharma, Esha Gupta,Action Thriller,commando 2,Vidyut Jammwal  Adah Sharma  Esha Gupta Deven Bhojani Action Thriller
Keshhav Panneriy,Arbaaz Khan, Ashutosh Rana, Himansh Kohli,Drama,jeena isi ka naam hai,Arbaaz Khan  Ashutosh Rana  Himansh Kohli Keshhav Panneriy Drama
Shashank Khaitan,Varun Dhawan, Alia Bhatt,unknown,Drama Comedy Romance,badrinath ki dulhania,Varun Dhawan  Alia Bhatt unknown Shashank Khaitan Drama Comedy Romance
Dipankar Senapati,Govinda, Ashutosh Rana, Murali Sharma,Action,aa gaya hero,Govinda  Ashutosh Rana  Murali Sharma Dipankar Senapati Action
Vikramaditya Motwane,Rajkummar Rao, Geetanjali Thapa, Khushboo Upadhyay,Action Crime Thriller,trapped,Rajkummar Rao  Geetanjali Thapa  Khushboo Upadhyay Vikramaditya Motwane Action Crime Thriller
Nicholas Kharkongor,Rajat Kapoor, Lushin Dubey, Kalki Koechlin,Documentary Music,mantra,Rajat Kapoor  Lushin Dubey  Kalki Koechlin Nicholas Kharkongor Documentary Music
Abbas-Mustan,Mustafa Burmawalla, Kiara Advani,unknown,Science Fiction Adventure Action,machine,Mustafa Burmawalla  Kiara Advani unknown Abbas-Mustan Science Fiction Adventure Action
Anshai Lal,Anushka Sharma, Diljit Dosanjh, Suraj Sharma,Fantasy Comedy Romance Drama,phillauri,Anushka Sharma  Diljit Dosanjh  Suraj Sharma Anshai Lal Fantasy Comedy Romance Drama
Shaurya Singh,Shaurya Singh, Karan Thakur, Jashan Singh & Priyanka Shukla,Comedy,bhanwarey,Shaurya Singh  Karan Thakur  Jashan Singh & Priyanka Shukla Shaurya Singh Comedy
Avinash Das,Swara Bhaskar,unknown,unknown,Drama,anaarkali of aarah,Swara Bhaskar unknown unknown Avinash Das Drama
Shivam Nair,Taapsee Pannu, Prithviraj Sukumaran & Akshay Kumar,unknown,Thriller,naam shabana,Taapsee Pannu  Prithviraj Sukumaran & Akshay Kumar unknown Shivam Nair Thriller
Rahul Bose,Aditi Inamdar, Rahul Bose & Heeba Shah,unknown,Adventure,poorna: courage has no limit,Aditi Inamdar  Rahul Bose & Heeba Shah unknown Rahul Bose Adventure
Manish Harishankar,Vivaan Shah, Akshara Haasan, Gurmeet Choudhary & Kavita Verma,Music Comedy Drama,laali ki shaadi mein laaddoo deewana,Vivaan Shah  Akshara Haasan  Gurmeet Choudhary & Kavita Verma Manish Harishankar Music Comedy Drama
