director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
P. T. Shaida (Tulsidutt Shaida),Miss Ali, Tarak Bagcha, Pandit Tulsidutt Shaida,Social,balika badhu a.k.a. baby bride,Miss Ali  Tarak Bagcha  Pandit Tulsidutt Shaida P. T. Shaida (Tulsidutt Shaida) Social
Vishnupant Divekar,Khalil, Prabha, Vaidya,Mythology,daksha yagna a.k.a. sati parvati,Khalil  Prabha  Vaidya Vishnupant Divekar Mythology
G. V. Sane,unknown,unknown,unknown,Mythology,jalandhar vrinda a.k.a. sati tulsi vrinda,unknown unknown unknown G. V. Sane Mythology
G. V. Sane,unknown,unknown,unknown,Mythology,kansa vadha a.k.a. end of the tyrant king,unknown unknown unknown G. V. Sane Mythology
S. N. Patankar,Trymbakrao Pradhan, Tara Koregaonkar, Baba Vyas,Social,katorabhar khoon a.k.a.the stinger stung a.k.a. zaheri saanp,Trymbakrao Pradhan  Tara Koregaonkar  Baba Vyas S. N. Patankar Social
Vishnupant Divekar,Khalil, Vaidya, Prabha,Mythology,krishna sudama a.k.a. shri krishna sudama,Khalil  Vaidya  Prabha Vishnupant Divekar Mythology
R. Nataraja Mudaliar,unknown,unknown,unknown,Drama,lava kusha,unknown unknown unknown R. Nataraja Mudaliar Drama
Rustomji Dhotiwala,unknown,unknown,unknown,Drama War,mahabharata,unknown unknown unknown Rustomji Dhotiwala Drama War
Suchet Singh,Kanjibhai Rathod,unknown,unknown,unknown,mrichhakatik,Kanjibhai Rathod unknown unknown Suchet Singh unknown
Shree Nath Patankar,unknown,unknown,unknown,Mythology,narasinha avtar,unknown unknown unknown Shree Nath Patankar Mythology
"Suchet Singh, Shukle",Dorothy Kingdon, Goharjaan, Kanjbhai Rathod,Mythology,rama or maya,"Dorothy Kingdon  Goharjaan  Kanjbhai Rathod Suchet Singh, Shukle Mythology"
Baburao Painter,Balasabeb Yadav, Zunzharrao Pawar, Kamaladevi,Mythology,sairandhri,Balasabeb Yadav  Zunzharrao Pawar  Kamaladevi Baburao Painter Mythology
G. V. Sane,unknown,unknown,unknown,Mythology,shri rama janma,unknown unknown unknown G. V. Sane Mythology
Shree Nath Patankar,Limaye,unknown,unknown,Mythology,sita swayamwar a.k.a. sita's marriage,Limaye unknown unknown Shree Nath Patankar Mythology
S. N. Patankar,Trymbakrao Pradhan, Marathe, Sitarampant Joshi,Social,the enchanted pills a.k.a. vichitra gutika,Trymbakrao Pradhan  Marathe  Sitarampant Joshi S. N. Patankar Social
Kanjibhai Rathod,R. N. Vaidya, Lina Valentine,unknown,Mythology,vikram urvashi,R. N. Vaidya  Lina Valentine unknown Kanjibhai Rathod Mythology
C. Legrand,Patience Cooper,unknown,unknown,Fantasy,behula,Patience Cooper unknown unknown C. Legrand Fantasy
Nitin Bose,unknown,unknown,unknown,Documentary,belgian emperor's visit to india,unknown unknown unknown Nitin Bose Documentary
Kanjibhai Rathod,Dwarkadas Sampat, Sakina, Maneklal Patel,Devotional,bhakta vidur,Dwarkadas Sampat  Sakina  Maneklal Patel Kanjibhai Rathod Devotional
Dhirendranath Ganguly,Dhirendranath Ganguly, Manmatha Pal, Sushilabala,Social Comedy,bilet pherat a.k.a. england returned,Dhirendranath Ganguly  Manmatha Pal  Sushilabala Dhirendranath Ganguly Social Comedy
Debi Ghosh,Chani Datta,unknown,unknown,unknown,dabbur kelenkari,Chani Datta unknown unknown Debi Ghosh unknown
Vishnupant Divekar,Hira Koregaonkar, Mama Bhatt,unknown,Legend,king gopichand a.k.a. gopichand,Hira Koregaonkar  Mama Bhatt unknown Vishnupant Divekar Legend
G. V. Sane,unknown,unknown,unknown,Mythology,govardhan dhari,unknown unknown unknown G. V. Sane Mythology
Jyotish Bannerjee,unknown,unknown,unknown,Mythology,jagat janani jagadamba a.k.a. ma durga a.k.a. mother durga,unknown unknown unknown Jyotish Bannerjee Mythology
Vishnupant Divekar,unknown,unknown,unknown,Mythology,krishna kumar a.k.a. pradyumna,unknown unknown unknown Vishnupant Divekar Mythology
Kanjibhai Rathod,Jamna,unknown,unknown,Animation TV Movie,krishna maya,Jamna unknown unknown Kanjibhai Rathod Animation TV Movie
Kanjibhai Rathod,Khalil, Vaidya, Sakina,Devotional,mahasati ansuya a.k.a. sati ansuya a.k.a. birth of shri dattatreya,Khalil  Vaidya  Sakina Kanjibhai Rathod Devotional
Sisir Kumar Bhaduri,Patience Cooper, S. K. Bhaduri,unknown,Devotional,meerabai a.k.a. mira bai,Patience Cooper  S. K. Bhaduri unknown Sisir Kumar Bhaduri Devotional
E. D. Liguoro,Patience Cooper, E. D. Liguoro, D. Sarkari,Drama Fantasy,nal damayanti,Patience Cooper  E. D. Liguoro  D. Sarkari E. D. Liguoro Drama Fantasy
S. N. Ray,Chunilal Dev, Shosha Mukhi, Sushila Debi,Mythology,ratnakar,Chunilal Dev  Shosha Mukhi  Sushila Debi S. N. Ray Mythology
R. Nataraja Mudaliar,unknown,unknown,unknown,Mythology,rukmini satyabhama a.k.a. rukmini kalyanam a.k.a. rukmani sathyabhama a.k.a. the wedding of rukmani,unknown unknown unknown R. Nataraja Mudaliar Mythology
Ganpat Shinde,unknown,unknown,unknown,Devotional,sant tukaram a.k.a. tukaram,unknown unknown unknown Ganpat Shinde Devotional
unknown,unknown,unknown,unknown,Social,salaam aleikum,unknown unknown unknown unknown Social
G. V. Sane,unknown,unknown,unknown,Mythology,shani prabhav,unknown unknown unknown G. V. Sane Mythology
C. Legrand,Kusum Kumari, Prabodh Bose,unknown,Mythology,shivratri,Kusum Kumari  Prabodh Bose unknown C. Legrand Mythology
Baburao Painter,V. Shantaram, Vishnupant Pagnis, Baburao Pendharkar,Mythology,surekha haran a.k.a. the elopement of surekha a.k.a. surekha abhimanyu,V. Shantaram  Vishnupant Pagnis  Baburao Pendharkar Baburao Painter Mythology
unknown,unknown,unknown,unknown,Social,themuras & tehmuljee a.k.a. aflatoon,unknown unknown unknown unknown Social
Vishnupant Divekar,Soni, Limaye, Anand Shinde,Mythology,tridandi sanyas,Soni  Limaye  Anand Shinde Vishnupant Divekar Mythology
Whittaker,unknown,unknown,unknown,Mythology,valli thirumanam a.k.a. valli's wedding,unknown unknown unknown Whittaker Mythology
G. V. Sane,unknown,unknown,unknown,Mythology,vikram satva pariksha,unknown unknown unknown G. V. Sane Mythology
Kanjibhai Rathod,Ali Miyan, Jamna, Kesar,Mythology,vishwamitra menaka,Ali Miyan  Jamna  Kesar Kanjibhai Rathod Mythology
"Jyotish Bannerjee, C. Legrand",Patience Cooper,unknown,unknown,Mythology,vishnu avatar a.k.a. the incarnations of lord vishnu,"Patience Cooper unknown unknown Jyotish Bannerjee, C. Legrand Mythology"
"Dhirendranath Ganguly, Nitish Lahiri",Dhirendranath Ganguly, Sushiladevi, Manmatha Pal,Mythology,yashoda nandan a.k.a. yashoda's son a.k.a. shri radha krishna,"Dhirendranath Ganguly  Sushiladevi  Manmatha Pal Dhirendranath Ganguly, Nitish Lahiri Mythology"
G. V. Sane,Bhaurao Datar, Bachu Pawar, Shanta Nalgunde,Mythology,ahiravan mahiravan vadha,Bhaurao Datar  Bachu Pawar  Shanta Nalgunde G. V. Sane Mythology
"Naresh Mitra, Sisir Kumar Bhaduri",Durga Rani, Lila Debi, Sisir Kumar Bhaduri,Social Drama,andhare alo a.k.a. the influence of love,"Durga Rani  Lila Debi  Sisir Kumar Bhaduri Naresh Mitra, Sisir Kumar Bhaduri Social Drama"
unknown,unknown,unknown,unknown,Historical,ashoka a.k.a. samrat ashoka,unknown unknown unknown unknown Historical
Kanjibhai Rathod,Khalil, Tara, R. N. Vaidya,Devotional,bhakta ambarish,Khalil  Tara  R. N. Vaidya Kanjibhai Rathod Devotional
Dadasaheb Phalke,unknown,unknown,unknown,Devotional,bhakta shiromani a.k.a. rajrishi ambarish a.k.a. bhakta shiromani,unknown unknown unknown Dadasaheb Phalke Devotional
S. N. Patankar,Tara Koregaonkar, Thatte,unknown,Legend,bhartrahari a.k.a. king bhartrahari,Tara Koregaonkar  Thatte unknown S. N. Patankar Legend
unknown,Madanrai Vakil,unknown,unknown,Mythology,bhishma bana shayya,Madanrai Vakil unknown unknown unknown Mythology
R. S. Prakash,unknown,unknown,unknown,Mythology,bhishma pratigna,unknown unknown unknown R. S. Prakash Mythology
Sundar Narayan Ray,Durgarani,unknown,unknown,Legend,bidyasundar a.k.a. the lover's trance,Durgarani unknown unknown Sundar Narayan Ray Legend
Dhirendranath Ganguly,Seeta Devi, Dhirendranath Ganguly, Miss Joy Billy,Social,bimata a.k.a. bijoy basant a.k.a. stepmother,Seeta Devi  Dhirendranath Ganguly  Miss Joy Billy Dhirendranath Ganguly Social
Jyotish Bannerjee,Durgadas Bannerjee, Miss Light, Basantakumari,Social Drama,bisha briksha a.k.a. bishabriksha a.k.a. poison tree,Durgadas Bannerjee  Miss Light  Basantakumari Jyotish Bannerjee Social Drama
S. N. Patankar,Raja Sandow,unknown,unknown,Legend Devotional,bodana a.k.a. bhakta bodhana a.k.a. shri ranchhodrai,Raja Sandow unknown unknown S. N. Patankar Legend Devotional
Baburao Painter,Baburao Pendharkar, Sushilabai, Gulabbai,Devotional,damaji a.k.a. bhakta damaji a.k.a. bhagwata bhakta damaji,Baburao Pendharkar  Sushilabai  Gulabbai Baburao Painter Devotional
Kanjibhai Rathod,Jamna,unknown,unknown,Devotional,devi todi,Jamna unknown unknown Kanjibhai Rathod Devotional
unknown,unknown,unknown,unknown,Mythology,doom of the yadavas a.k.a. yadav vinas,unknown unknown unknown unknown Mythology
Vishnupant Divekar,Kamala,unknown,unknown,Mythology,draupadi swayamwar,Kamala unknown unknown Vishnupant Divekar Mythology
Vishnupant Divekar,S. N. Patankar, Damle, Soni,Mythology,draupadi veni bandhan a.k.a. the fall of the kauravas a.k.a. veni bandhan,S. N. Patankar  Damle  Soni Vishnupant Divekar Mythology
unknown,Patience Cooper, Dadibhai Sarkari,unknown,Mythology,gangavataran a.k.a. bhagirathi ganga,Patience Cooper  Dadibhai Sarkari unknown unknown Mythology
Dhirendranath Ganguly,unknown,unknown,unknown,Religious,hara gouri a.k.a. lord shiva and parvati,unknown unknown unknown Dhirendranath Ganguly Religious
G. V. Sane,Bhaurao Datar,unknown,unknown,Mythology,hari talika,Bhaurao Datar unknown unknown G. V. Sane Mythology
Dhirendranath Ganguly,Seeta Devi, Dhirendranath Ganguly,unknown,Social,indrajit a.k.a. indrajit o lady teacher,Seeta Devi  Dhirendranath Ganguly unknown Dhirendranath Ganguly Social
S. N. Patankar,Tara Koregaonkar, K. G. Gokhale, Baba Vyas,Legend,jadunath,Tara Koregaonkar  K. G. Gokhale  Baba Vyas S. N. Patankar Legend
S. N. Patankar,Tara Koregaonkar, Baba Vyas,unknown,Fantasy,kalidas,Tara Koregaonkar  Baba Vyas unknown S. N. Patankar Fantasy
S. N. Patankar,Raja Sandow,unknown,unknown,Mythology,karna a.k.a. deserted son of kunti,Raja Sandow unknown unknown S. N. Patankar Mythology
Dhirendranath Ganguly,unknown,unknown,unknown,Comedy,lady teacher,unknown unknown unknown Dhirendranath Ganguly Comedy
S. N. Patankar,Tara Koregaonkar, Baba Vyas, Thatte,Mythology,mahashweta kadambari a.k.a. shap sambhram,Tara Koregaonkar  Baba Vyas  Thatte S. N. Patankar Mythology
G. V. Sane,Bhaurao Datar, Bachu Pawar, Sakharam Jadhav,Mythology,pandavas in exile a.k.a. pandav vanavas,Bhaurao Datar  Bachu Pawar  Sakharam Jadhav G. V. Sane Mythology
unknown,Vithaldas Panchotia,unknown,unknown,Mythology,parikshit,Vithaldas Panchotia unknown unknown unknown Mythology
unknown,unknown,unknown,unknown,Mythology,parsuram,unknown unknown unknown unknown Mythology
J. J. Madan,Patience Cooper, Master Mohan, Signorina F. Manelli,Social Drama,pati bhakti a.k.a. pavitra leelavati a.k.a. husband worship,Patience Cooper  Master Mohan  Signorina F. Manelli J. J. Madan Social Drama
Manilal Joshi,unknown,unknown,unknown,Mythology,pitroddhar a.k.a. ganga the redeemer,unknown unknown unknown Manilal Joshi Mythology
J. J. Madan,Patience Cooper, Eugenio De Liguoro, Dorothy Bayley,Costume Fantasy,princess budur a.k.a. rajkumari budur a.k.a. tale of kamar-al-zaman,Patience Cooper  Eugenio De Liguoro  Dorothy Bayley J. J. Madan Costume Fantasy
Vishnupant Divekar,V. Y. Datar, Soni,unknown,Mythology,radha vilas,V. Y. Datar  Soni unknown Vishnupant Divekar Mythology
unknown,Patience Cooper, Albertina,unknown,Legend,raja bhoj,Patience Cooper  Albertina unknown unknown Legend
Manilal Joshi,Miss Yakbal,unknown,unknown,Mythology,raja parikshit a.k.a. janmejaya's serpent sacrifice,Miss Yakbal unknown unknown Manilal Joshi Mythology
Manilal Joshi,Miss Yakbal, Elizer,unknown,Legend Mythology,ratnavali a.k.a. the lady from lanka,Miss Yakbal  Elizer unknown Manilal Joshi Legend Mythology
"Jyotish Bannerjee, C. Legrand",Patience Cooper, Miss Gohar, Miss Albertina,Legend Mythology,ratnavali a.k.a. ratnabali a.k.a. sea nymph of ceylon,"Patience Cooper  Miss Gohar  Miss Albertina Jyotish Bannerjee, C. Legrand Legend Mythology"
"Nitish Lahiri, Dhirendranath Ganguly",Dhirendranath Ganguly, Lina Valentine, Sushilabala,Comedy,sadhu aur shaitan,"Dhirendranath Ganguly  Lina Valentine  Sushilabala Nitish Lahiri, Dhirendranath Ganguly Comedy"
Dadasaheb Phalke,unknown,unknown,unknown,Devotional,sant namdev a.k.a. saint namdeo,unknown unknown unknown Dadasaheb Phalke Devotional
G. V. Sane,Shanta Nalgunde, Visubhau Nirantar,unknown,Devotional,sant sakhubai,Shanta Nalgunde  Visubhau Nirantar unknown G. V. Sane Devotional
unknown,Patience Cooper,unknown,unknown,Mythology,sati a.k.a. kalighat a.k.a. daksha yagna a.k.a. origin of mahakali temple,Patience Cooper unknown unknown unknown Mythology
S. N. Patankar,Tara Koregaonkar, C. C. Shah,unknown,Biopic Devotional,sati anjani a.k.a. birth of hanuman,Tara Koregaonkar  C. C. Shah unknown S. N. Patankar Biopic Devotional
V. S. Nirantar,Anna Salunke, Shinde,unknown,unknown,satya narayan,Anna Salunke  Shinde unknown V. S. Nirantar unknown
unknown,unknown,unknown,unknown,Puranic Drama,sharmista devyani,unknown unknown unknown unknown Puranic Drama
G. V. Sane,Bhaurao Datar, Bachu Pawar, Sonabai,Mythology,shishupal vadh a.k.a. the killing of shishupal,Bhaurao Datar  Bachu Pawar  Sonabai G. V. Sane Mythology
G. V. Sane,Bhaurao Datar, Madhav Malasure,unknown,unknown,shri ganesh janma a.k.a. ganesh avatar,Bhaurao Datar  Madhav Malasure unknown G. V. Sane unknown
S. N. Patankar,Damle, C. C. Shah, Baba Vyas,Devotional,shri markandeya avtar a.k.a. shiv mahima a.k.a. devotion's reward,Damle  C. C. Shah  Baba Vyas S. N. Patankar Devotional
Kanjibhai Rathod,Khalil, Sakina, Miss Moti,Devotional,shri satya narayan,Khalil  Sakina  Miss Moti Kanjibhai Rathod Devotional
Kanjibhai Rathod,Sakina, Miss Moti, Jamna,Devotional,sukanya savitri,Sakina  Miss Moti  Jamna Kanjibhai Rathod Devotional
Narayan Deware,Khalil, Tara, Miss Moti,Costume,suryakumari,Khalil  Tara  Miss Moti Narayan Deware Costume
J. J. Madan,Patience Cooper, Miss Chandra, Prabhodh Chandra Bose,Social,tara the dancer a.k.a. nartaki tara,Patience Cooper  Miss Chandra  Prabhodh Chandra Bose J. J. Madan Social
Vishnupant Divekar,V. Y. Datar, Soni,unknown,Mythology,virat parva,V. Y. Datar  Soni unknown Vishnupant Divekar Mythology
Dadasaheb Phalke,Bhaurao Datar, Sakharam Jadhav, Dada Pendse,Mythology,babruwahan,Bhaurao Datar  Sakharam Jadhav  Dada Pendse Dadasaheb Phalke Mythology
unknown,Devotional,unknown,unknown,unknown,bhakta gora kumbhar a.k.a. gora kumbhar the devout,Devotional unknown unknown unknown unknown
Dadasaheb Phalke,Bhaurao Datar, Dada Pendse, Charubai,Biopic Religious,buddha dev a.k.a. lord buddha,Bhaurao Datar  Dada Pendse  Charubai Dadasaheb Phalke Biopic Religious
unknown,unknown,unknown,unknown,Devotional,champraj hada,unknown unknown unknown unknown Devotional
Dhirendranath Ganguly,unknown,unknown,unknown,Devotional,chintamoni,unknown unknown unknown Dhirendranath Ganguly Devotional
S. N. Patankar,Thatte, Tara Koregaonkar,unknown,Mythology,durvas shaap a.k.a. curse of durvas,Thatte  Tara Koregaonkar unknown S. N. Patankar Mythology
unknown,unknown,unknown,unknown,Mythology,gayatri mahatmya a.k.a. venukumar,unknown unknown unknown unknown Mythology
Dadasaheb Phalke,Bhaurao Datar, Charubai, Dada Pendse,Mythology,guru dronacharya a.k.a. drona the teacher,Bhaurao Datar  Charubai  Dada Pendse Dadasaheb Phalke Mythology
S. N. Patankar,Trymbakrao Pradhan,unknown,unknown,Mythology,guru machindranath a.k.a. streeyaraj a.k.a. the kingdom of women,Trymbakrao Pradhan unknown unknown S. N. Patankar Mythology
Kanjibhai Rathod,unknown,unknown,unknown,Biopic Devotional,goswami tulsidas,unknown unknown unknown Kanjibhai Rathod Biopic Devotional
S. N. Patankar,unknown,unknown,unknown,Mythology,janak videhi a.k.a. king janak,unknown unknown unknown S. N. Patankar Mythology
Dadasaheb Phalke,Bhaurao Datar, Bachu Pawar, Ghanshyam Singh,Mythology,jara sandha vadha,Bhaurao Datar  Bachu Pawar  Ghanshyam Singh Dadasaheb Phalke Mythology
Sisir Kumar Bhaduri,Sisir Kumar Bhaduri, Patience Cooper, Kusumkumari,Mythology,kamale kamini a.k.a. kamale kamani a.k.a. maid of the lotus,Sisir Kumar Bhaduri  Patience Cooper  Kusumkumari Sisir Kumar Bhaduri Mythology
Chittranjan R. Goswami,Chittaranjan Goswami, Naresh Mitra, Nagendrabala,Social Drama,khokha babu a.k.a. khokababu,Chittaranjan Goswami  Naresh Mitra  Nagendrabala Chittranjan R. Goswami Social Drama
Manilal Joshi,unknown,unknown,unknown,Mythology Epic,kirat arjuna,unknown unknown unknown Manilal Joshi Mythology Epic
unknown,unknown,unknown,unknown,Mythology,krishna arjuna yuddha,unknown unknown unknown unknown Mythology
unknown,unknown,unknown,unknown,Mythology,krishna toola,unknown unknown unknown unknown Mythology
unknown,unknown,unknown,unknown,Biopic Religious,life of lord buddha,unknown unknown unknown unknown Biopic Religious
Naresh Mitra,Durgadas Bannerjee, Naresh Mitra, Indu Mukherjee,Social Drama,maan bhanjan a.k.a. honour retained a.k.a. all for love,Durgadas Bannerjee  Naresh Mitra  Indu Mukherjee Naresh Mitra Social Drama
Dadasaheb Phalke,unknown,unknown,unknown,Devotional,mahananda a.k.a. sati mahananda,unknown unknown unknown Dadasaheb Phalke Devotional
Jyotish Bannerjee,Patience Cooper, Tulsi Bannerjee, Miss Kumud,Social Drama,matri sneha a.k.a. a mother's love,Patience Cooper  Tulsi Bannerjee  Miss Kumud Jyotish Bannerjee Social Drama
unknown,unknown,unknown,unknown,Mythology,matsya varah avtar,unknown unknown unknown unknown Mythology
Kanjibhai Rathod,Khalil, Miss Moti, Tara,Social,minal devi a.k.a. the sin redeemed,Khalil  Miss Moti  Tara Kanjibhai Rathod Social
J. J. Madan,Patience Cooper, Dadibhai Sarkari, Manchersha Chapgar,Biopic Historical,noorjehan a.k.a. light of the world a.k.a. nurjehan,Patience Cooper  Dadibhai Sarkari  Manchersha Chapgar J. J. Madan Biopic Historical
unknown,Madanrai Vakil, Asooji,unknown,Mythology,raja mayurdhwaja,Madanrai Vakil  Asooji unknown unknown Mythology
R. S. Prakash,unknown,unknown,unknown,Mythology,samudra madanam,unknown unknown unknown R. S. Prakash Mythology
S. N. Patankar,unknown,unknown,unknown,Historical,sati veermata a.k.a. pious veermata,unknown unknown unknown S. N. Patankar Historical
"Giorgio Mannini, J. J. Madan",Rina De Liguoro, Angelo Ferrari, Gianna Terribili-Gonzales,Mythology,savitri a.k.a. savitri e satyvan savitri satyvan,"Rina De Liguoro  Angelo Ferrari  Gianna Terribili-Gonzales Giorgio Mannini, J. J. Madan Mythology"
G. V. Sane,Bhaurao Datar, Sane, Bachu Pawar,Mythology,shishupal vadha a.k.a. the killing of shishupal,Bhaurao Datar  Sane  Bachu Pawar G. V. Sane Mythology
"Kanjibhai Rathod, Narayan Devare",unknown,unknown,unknown,Religious,shri balkrishna a.k.a. the child krishna,"unknown unknown unknown Kanjibhai Rathod, Narayan Devare Religious"
Baburao Painter,V. Shantaram,unknown,unknown,Religious,shri krishna avatar,V. Shantaram unknown unknown Baburao Painter Religious
S. N. Patankar,unknown,unknown,unknown,Devotional,shri krishna bhakta peepaji,unknown unknown unknown S. N. Patankar Devotional
S. N. Patankar,Tarabai Koregaonkar, Thatte,unknown,Mythology,shri krishna satyabhama a.k.a. krishna satyabhama a.k.a. samantak mani,Tarabai Koregaonkar  Thatte unknown S. N. Patankar Mythology
Kanjibhai Rathod,Khalil, Tara,unknown,Fantasy,shuk rambha a.k.a. shukh deo,Khalil  Tara unknown Kanjibhai Rathod Fantasy
Manilal Joshi,unknown,unknown,unknown,Legend,silent curse a.k.a. sati ka shaap,unknown unknown unknown Manilal Joshi Legend
Baburao Painter,Baburao Painter, V. Shantaram, D. Sarpotdar,Historical Drama,sinhagad,Baburao Painter  V. Shantaram  D. Sarpotdar Baburao Painter Historical Drama
Hemchandra Mukherjee,Ahindra Chowdhury, Gokul Nag, Prafulla Ghosh,Costume Drama,soul of a slave,Ahindra Chowdhury  Gokul Nag  Prafulla Ghosh Hemchandra Mukherjee Costume Drama
"R. S. Prakash, Thomas Gavin Duffy",Thomas Gavin Duffy,unknown,unknown,Religion,the catechist of kil arni,"Thomas Gavin Duffy unknown unknown R. S. Prakash, Thomas Gavin Duffy Religion"
S. N. Patankar,unknown,unknown,unknown,Mythology,vaman avatar a.k.a. raja bali,unknown unknown unknown S. N. Patankar Mythology
unknown,unknown,unknown,unknown,Historical Legend,vanraj chavdo a.k.a. vanraj chavda,unknown unknown unknown unknown Historical Legend
unknown,unknown,unknown,unknown,Mythology,vratrasoor vadha,unknown unknown unknown unknown Mythology
Dhirendranath Ganguly,unknown,unknown,unknown,Devotional,yayati,unknown unknown unknown Dhirendranath Ganguly Devotional
Dadasaheb Phalke,Bhaurao Datar, Dada Pendse, Gotiram,Mythology,ashwathama,Bhaurao Datar  Dada Pendse  Gotiram Dadasaheb Phalke Mythology
unknown,Elizer, Asooji,unknown,unknown,atma bal a.k.a. sundar kamdar,Elizer  Asooji unknown unknown unknown
unknown,unknown,unknown,unknown,Mythology,bal shringee or bal shringi,unknown unknown unknown unknown Mythology
V. K. Pattani,Nanubhai, Batukbhai Vaidya,unknown,Mythology,bali yagna,Nanubhai  Batukbhai Vaidya unknown V. K. Pattani Mythology
Kanjibhai Rathod,unknown,unknown,unknown,Mythology,bali yagna a.k.a. self-surrender at the feet of the master,unknown unknown unknown Kanjibhai Rathod Mythology
Homi Master,Raja Sandow, Miss Moti, Noor Mohammed Charlie,Social,bismi sadi a.k.a. twentieth century,Raja Sandow  Miss Moti  Noor Mohammed Charlie Homi Master Social
Naval Gandhi,unknown,unknown,unknown,unknown,chandan malayagiri,unknown unknown unknown Naval Gandhi unknown
unknown,Jilloobai, Asooji,unknown,Historical,chandragupta and mahatma chanakya a.k.a. chandragupta chanakya,Jilloobai  Asooji unknown unknown Historical
Naresh Mitra,Durgadas Bannerjee, Nirmalbala, Naresh Mitra,Social,chandranath,Durgadas Bannerjee  Nirmalbala  Naresh Mitra Naresh Mitra Social
G. V. Sane,Bhaurao Datar, Bachu, Ashraben,Devotional,datta janma a.k.a. sati ansuya,Bhaurao Datar  Bachu  Ashraben G. V. Sane Devotional
Raghupathy S. Prakasa,unknown,unknown,unknown,Mythology,draupadi bhagya a.k.a. draupadi's fate,unknown unknown unknown Raghupathy S. Prakasa Mythology
Raghupathy S. Prakasa,unknown,unknown,unknown,Mythology,gajendra moksham a.k.a. gajendra's nirvana,unknown unknown unknown Raghupathy S. Prakasa Mythology
unknown,unknown,unknown,unknown,Devotional,gomata a.k.a. sacred cow,unknown unknown unknown unknown Devotional
Kanjibhai Rathod,Zubeida, Fatma Begum, Khalil,Legend,gul-e-bakavali,Zubeida  Fatma Begum  Khalil Kanjibhai Rathod Legend
unknown,unknown,unknown,unknown,unknown,ishq no umedwar,unknown unknown unknown unknown unknown
G. V. Sane,Bhaurao Datar, Bachu Pawar,unknown,Mythology,jayadratha vadha,Bhaurao Datar  Bachu Pawar unknown G. V. Sane Mythology
Homi Master,Zubeida, Fatma Begum, Khalil,True-life Crime Thriller,kala naag a.k.a. triumph of justice a.k.a. kalyug ki sati,Zubeida  Fatma Begum  Khalil Homi Master True-life Crime Thriller
Baburao Painter,Sultana, Master Vithal, Kamaladevi,Crime Thriller,kalyan khajina a.k.a. the treasures of khajina,Sultana  Master Vithal  Kamaladevi Baburao Painter Crime Thriller
S. N. Patankar,unknown,unknown,unknown,Historical,karan ghelo a.k.a. karan waghela,unknown unknown unknown S. N. Patankar Historical
unknown,unknown,unknown,unknown,Social,kismet ka shikar a.k.a. victims of fate,unknown unknown unknown unknown Social
Gajanan S. Devare,unknown,unknown,unknown,Costume,krishna kumari a.k.a. daughter of shripur,unknown unknown unknown Gajanan S. Devare Costume
Homi Master,Zubeida, Khalil, Sultana,Social,manorama a.k.a. hridaya triputi,Zubeida  Khalil  Sultana Homi Master Social
Jyotish Bannerjee,Durgadas Bannerjee, Ahindra Choudhury, Krishnabhamini,Costume,mishar rani a.k.a. queen of mishar,Durgadas Bannerjee  Ahindra Choudhury  Krishnabhamini Jyotish Bannerjee Costume
Dadasaheb Phalke,Bachu Pawar, Baburao Datar, Sakharam Jadhav,Social,municipal election a.k.a. municipal nivadnuk,Bachu Pawar  Baburao Datar  Sakharam Jadhav Dadasaheb Phalke Social
unknown,Dolores Berry, Asooji,unknown,Devotional,nanda batrisi a.k.a. nand batrishi,Dolores Berry  Asooji unknown unknown Devotional
Raghupathy S. Prakasa,unknown,unknown,unknown,Devotional,nandanar a.k.a. bhakta nandan,unknown unknown unknown Raghupathy S. Prakasa Devotional
Kashinath Chatterjee,unknown,unknown,unknown,Social,navin bharat a.k.a. new india a.k.a. naveen bharat,unknown unknown unknown Kashinath Chatterjee Social
Homi Master,unknown,unknown,unknown,Social,navi sethani a.k.a. kanya vikrya ni kahani,unknown unknown unknown Homi Master Social
unknown,Probodh Chandra Bose, Nirmalendu Lahiri, Prabhadevi,Social,paper parinam a.k.a. crime and punishment,Probodh Chandra Bose  Nirmalendu Lahiri  Prabhadevi unknown Social
J. J. Madan,Patience Cooper,unknown,unknown,Social,patni pratap a.k.a. wife's achievement,Patience Cooper unknown unknown J. J. Madan Social
B. V. (Mama) Warerkar,Dulari, Sundar Rao Nadkarni, Vishnupant Pagnis,Historical,poona raided a.k.a. poona par hallo,Dulari  Sundar Rao Nadkarni  Vishnupant Pagnis B. V. (Mama) Warerkar Historical
Manilal Joshi,P.Y. Altekar, Wagle Sandow, Fatma Begum,Historical,prithvi vallabh a.k.a. the lord of love and power,P.Y. Altekar  Wagle Sandow  Fatma Begum Manilal Joshi Historical
unknown,unknown,unknown,unknown,Historical,prithviraj chouhan a.k.a. prithviraj chauhan,unknown unknown unknown unknown Historical
Homi Master,Raja Sandow, Miss Yakbal, Ganibabu,Historical,ra mandlik,Raja Sandow  Miss Yakbal  Ganibabu Homi Master Historical
S. N. Patankar,Tarabai Koregaonkar, C. C. Shah,unknown,Historical,ranakdevi,Tarabai Koregaonkar  C. C. Shah unknown S. N. Patankar Historical
"Nanubhai Desai, Bhagwati Mishra",Raja Sandow, Jilloobai,unknown,Historical,razia begum,"Raja Sandow  Jilloobai unknown Nanubhai Desai, Bhagwati Mishra Historical"
